OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ORBCOMM FM06,1997-084G,2026-08-26T12:36:56.193696,14.47709131,.00001245,45.0137,74.0578,181.9957,200.2334,0,U,25118,999,50458,.37544785E-3,.1254E-4,0
INMARSAT 3-F5,1998-006B,2026-08-27T04:15:47.487744,1.00273773,.0004659,9.8464,52.5281,103.4070,189.4729,0,U,25153,999,10460,0,-.289E-5,0
ORBCOMM FM04,1998-007C,2026-08-27T02:40:00.279840,14.35838550,.00415439,107.9613,315.3958,204.3650,155.5527,0,U,25159,999,48677,.2862771E-3,.705E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-08-27T06:48:59.689152,14.22501962,.00618043,108.0095,115.9052,10.0338,91.6811,0,U,25160,999,48062,.48280238E-4,-.2E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-08-26T10:44:29.866560,14.24439963,.0001913,99.0129,232.9975,47.6679,312.4661,0,U,25397,999,46133,.40677574E-4,.47E-6,0
WESTPAC,1998-043E,2026-08-27T05:03:57.587616,14.23056794,.00018215,99.0211,226.9631,42.8679,317.2640,0,U,25398,999,46104,.12761666E-4,-.18E-6,0
ORBCOMM FM19,1998-046C,2026-08-26T08:57:27.305280,14.39607114,.00056649,44.9931,269.9108,285.4364,88.8158,0,U,25415,999,46689,.2598093E-3,.677E-5,0
ORBCOMM FM20,1998-046D,2026-08-26T12:33:31.691808,14.38150106,.00030517,44.9936,277.9034,268.0976,91.9523,0,U,25416,999,46691,.2139359E-3,.513E-5,0
ORBCOMM FM27,1998-053G,2026-08-27T01:27:51.386688,14.39250785,.00021463,45.0067,358.6939,213.3530,146.7184,0,U,25481,999,46044,.30121878E-3,.8E-5,0
SCD 2,1998-060A,2026-08-26T15:59:40.464384,14.45546798,.00168307,24.9965,357.5077,147.2397,340.4293,0,U,25504,999,47053,.48884967E-4,.357E-5,0
ISS (ZARYA),1998-067A,2026-08-27T03:27:03.812832,15.49649978,.00076975,51.6326,308.8886,87.8986,272.2885,0,U,25544,999,58275,.16242532E-3,.8717E-4,0
SWAS,1998-071A,2026-08-27T04:06:24.557184,15.09986461,.00047134,69.8951,44.4108,174.8599,185.2615,0,U,25560,999,50798,.19560911E-3,.308E-4,0
ISS (UNITY),1998-069F,2026-08-27T03:27:03.812832,15.49649978,.00076975,51.6326,308.8886,87.8986,272.2885,0,U,25575,999,58261,.16242532E-3,.8717E-4,0
DLR-TUBSAT,1999-029B,2026-08-26T20:04:57.990720,14.52441541,.00150335,98.6752,236.6843,132.3121,227.9350,0,U,25757,999,44350,.35014856E-4,.94E-6,0
CXO,1999-040B,2026-08-28T18:42:43.449120,0.37801396,.7726724,57.1441,114.7944,309.5210,0.7071,0,U,25867,999,1759,0,.103E-4,0
ABS-6,1999-053A,2026-08-27T05:52:38.615232,1.00269520,.00029682,0.0555,263.9215,239.4959,79.1914,0,U,25924,999,9855,0,-.122E-5,0
NAVSTAR 46 (USA 145),1999-055A,2026-08-27T02:23:07.638144,2.00558777,.01054229,51.3983,292.3603,179.2691,184.9270,0,U,25933,999,19700,0,-.15E-6,0
UFO 10 (USA 146),1999-063A,2026-08-27T04:19:33.968928,1.00271665,.00033076,9.8924,26.8215,179.4869,171.2157,0,U,25967,999,9805,0,-.184E-5,0
ORBCOMM FM32,1999-065C,2026-08-27T04:39:44.970336,14.37217183,.00059325,45.0140,197.1119,30.9413,329.1784,0,U,25982,999,39730,.26180477E-3,.645E-5,0
XMM-NEWTON,1999-066A,2026-08-29T03:39:45.765792,0.50122149,.46557716,64.1037,282.0428,63.5985,0.0586,0,U,25989,999,2337,0,.181E-5,0
TERRA,1999-068A,2026-08-27T05:46:22.308672,14.61150328,.00027405,97.9400,285.9495,37.1304,37.3657,0,U,25994,999,41998,.79757792E-4,.348E-5,0
ASIASTAR,2000-016A,2026-08-26T23:47:58.082208,1.00270415,.00040214,9.2893,57.3735,100.8348,279.0296,0,U,26107,999,9663,0,-.332E-5,0
IMAGE,2000-017A,2026-08-25T01:14:39.612768,1.68668073,.7387332,94.2776,316.2484,280.0896,11.2642,0,U,26113,999,16266,0,.121E-5,0
USA 149 (DSP 20),2000-024A,2026-08-26T12:57:38.673216,1.00277238,.00008778,13.2231,11.3349,209.9581,142.6031,0,U,26356,999,3361,0,.98E-6,0
TDRS 8,2000-034A,2026-08-26T22:15:38.617056,1.00274522,.0002315,12.7937,30.7066,74.9431,288.2395,0,U,26388,999,9589,0,-.193E-5,0
ISS (ZVEZDA),2000-037A,2026-08-27T03:27:03.812832,15.49649978,.00076975,51.6326,308.8886,87.8986,272.2885,0,U,26400,999,58265,.16242532E-3,.8717E-4,0
NAVSTAR 48 (USA 151),2000-040A,2026-08-27T04:18:58.168224,2.00558220,.01190451,54.8427,212.3437,303.4323,119.4132,0,U,26407,999,19137,0,.32E-6,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-08-16T08:33:20.293632,0.44877167,.9119992,149.5559,61.8704,279.7536,359.6603,0,U,26410,999,2057,0,.204628E-2,-.13535E-2
CLUSTER II-FM8 (TANGO),2000-045B,2026-08-26T04:42:08.282016,0.44543471,.9133341,149.5891,64.7882,282.6559,2.0484,0,U,26464,999,2062,0,.357125E-2,-.22476E-2
NSS-11,2000-059A,2026-08-27T03:33:30.887424,1.00272731,.00031942,2.3026,80.4903,86.6302,37.6586,0,U,26554,999,4200,0,.24E-6,0
USA 153,2000-065A,2026-08-26T18:48:31.872672,1.00274478,.00018783,11.7444,34.8144,114.7489,242.0607,0,U,26575,999,3363,0,-.322E-5,0
AMC-6,2000-067A,2026-08-27T04:30:30.969216,1.00273310,.00041386,0.3272,83.9740,69.8753,114.1642,0,U,26580,999,9460,0,.87E-6,0
NAVSTAR 49 (USA 154),2000-071A,2026-08-24T00:00:00.000000,2.00562973,.01741454,55.6637,92.2753,266.9771,305.9171,0,U,26605,999,18887,0,-.1E-7,0
ISS (DESTINY),2001-006B,2026-08-27T03:27:03.812832,15.49649978,.00076975,51.6326,308.8886,87.8986,272.2885,0,U,26700,999,58269,.16242532E-3,.8717E-4,0
USA 157 (MILSTAR-2 2),2001-009A,2026-08-27T04:26:18.649248,1.00269856,.00424209,11.6200,19.3020,178.8265,53.8500,0,U,26715,999,3365,0,.113E-5,0
BSAT-2A,2001-011B,2026-08-27T04:24:48.465792,0.99181151,.00056386,10.8806,46.8157,180.5722,169.7695,0,U,26720,999,9267,0,-.188E-5,0
OMNI-M1,2001-026A,2026-08-27T01:28:38.448768,3.92402851,.00137727,44.8149,228.9295,64.8926,295.2697,0,U,26857,999,20835,0,.9E-7,0
